City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,25.96,80,40,2.57,US,1686597659
1,isafjordur,66.0755,-23.124,12.02,54,20,7.2,IS,1686597659
2,grytviken,-54.2811,-36.5092,-3.3,91,28,4.39,GS,1686597194
3,alamos,27.0167,-108.9333,36.18,14,100,3.06,MX,1686597660
4,oodweyne,9.4092,45.064,26.13,54,100,6.58,SO,1686597660
5,adamstown,-25.066,-130.1015,19.98,63,22,3.05,PN,1686597195
6,diboll,31.1871,-94.781,34.01,65,0,0.0,US,1686597660
7,dunedin,-45.8742,170.5036,10.45,78,100,2.68,NZ,1686597660
8,uturoa,-16.7333,-151.4333,26.9,73,8,8.48,PF,1686597661
9,tarko-sale,64.9225,77.785,3.93,96,100,8.08,RU,1686597661
10,zhigalovo,54.8097,105.1578,13.31,48,100,1.63,RU,1686597661
11,baswa,27.15,76.5833,36.29,26,0,4.81,IN,1686597661
12,port-aux-francais,-49.35,70.2167,6.45,92,100,13.36,TF,1686597662
13,aasiaat,68.7098,-52.8699,0.92,78,18,13.16,GL,1686597662
14,zhicheng,30.2956,111.5047,22.16,84,100,2.4,CN,1686597662
15,longyearbyen,78.2186,15.6401,2.91,81,75,6.17,SJ,1686597662
16,turabah,21.2141,41.6331,29.33,22,8,7.63,SA,1686597663
17,carthage,36.8611,10.3316,23.74,73,20,2.06,TN,1686597663
18,kokoda,-8.8785,147.7407,22.53,96,63,0.65,PG,1686597663
19,margaret river,-33.95,115.0667,15.5,72,89,7.08,AU,1686597191
20,midvagur,62.0511,-7.1939,11.46,76,0,4.12,FO,1686597664
21,vilyuchinsk,52.9306,158.4028,9.15,64,0,3.6,RU,1686597664
22,levuka,50.1834,-105.4011,26.9,26,75,3.6,CA,1686597664
23,port lincoln,-34.7333,135.8667,13.4,67,72,10.51,AU,1686597664
24,vila velha,-20.3297,-40.2925,27.97,81,20,5.14,BR,1686597664
25,st. john's,47.5649,-52.7093,8.77,86,100,5.66,CA,1686597273
26,hadibu,12.65,54.0333,28.38,78,100,7.51,YE,1686597665
27,san patricio,28.017,-97.5169,36.4,41,0,7.53,US,1686597222
28,blackmans bay,-43.0167,147.3167,5.97,90,52,3.17,AU,1686597665
29,tsiombe,-25.3,45.4833,19.32,91,16,2.52,MG,1686597279
30,bireun,5.203,96.7009,25.94,80,100,2.07,ID,1686597666
31,wailua homesteads,22.0669,-159.378,26.24,86,100,5.14,US,1686597429
32,waitangi,-43.9535,-176.5597,9.9,76,94,7.85,NZ,1686597666
33,pamandzi,-12.7967,45.2794,24.88,78,0,2.57,YT,1686597666
34,albany,42.6001,-73.9662,28.68,48,100,1.79,US,1686597667
35,georgetown,5.4112,100.3354,29.97,84,20,2.57,MY,1686597667
36,coquimbo,-29.9533,-71.3436,12.85,71,40,5.14,CL,1686597232
37,colonia,50.9333,6.95,27.17,32,0,1.54,DE,1686597167
38,shimanovsk,52.0,127.7,16.16,86,31,0.56,RU,1686597668
39,ketchikan,55.3422,-131.6461,14.26,82,100,3.09,US,1686597668
40,ilulissat,69.2167,-51.1,3.01,87,75,4.63,GL,1686597668
41,ghat,24.9647,10.1728,36.52,11,0,5.44,LY,1686597668
42,ardestan,33.3761,52.3694,28.44,30,25,3.51,IR,1686597668
43,alakurtti,66.9672,30.3491,16.79,52,98,5.83,RU,1686597669
44,anadyr,64.75,177.4833,13.28,58,0,3.0,RU,1686597670
45,sabha,27.0377,14.4283,31.89,22,0,5.27,LY,1686597670
46,hermanus,-34.4187,19.2345,13.78,76,100,9.64,ZA,1686597670
47,manokwari,-0.8667,134.0833,25.16,85,99,1.83,ID,1686597316
48,kayangel,8.0823,134.7173,26.67,88,100,6.09,PW,1686597671
49,west island,-12.1568,96.8225,26.99,78,75,9.66,CC,1686597671
50,hammerfest,70.6634,23.6821,8.25,76,75,8.23,NO,1686597671
51,antofagasta,-23.65,-70.4,16.43,72,25,6.09,CL,1686597671
52,karratha,-20.7377,116.8463,20.15,38,0,4.11,AU,1686597672
53,constantia,44.1833,28.65,17.61,69,77,7.79,RO,1686597672
54,puerto ayora,-0.7393,-90.3518,31.98,86,44,3.13,EC,1686597672
55,edinburgh of the seven seas,-37.0676,-12.3116,17.0,89,100,17.07,SH,1686597672
56,vilyuysk,63.7553,121.6247,2.86,71,0,2.1,RU,1686597673
57,pekan,3.4836,103.3996,26.06,92,19,1.88,MY,1686597673
58,wynyard,-41.0,145.7167,11.66,84,100,4.44,AU,1686597673
59,dergachi,51.2328,48.7659,14.72,66,100,9.48,RU,1686597673
60,garhwa,24.1833,83.8167,33.91,30,37,2.24,IN,1686597674
61,mount gambier,-37.8333,140.7667,9.55,96,100,4.21,AU,1686597674
62,mangrol,21.1167,70.1167,28.9,84,100,14.03,IN,1686597674
63,selfoss,63.9331,-20.9971,11.69,64,97,4.2,IS,1686597306
64,chenaran,36.6455,59.1212,23.88,23,5,1.19,IR,1686597675
65,ushuaia,-54.8,-68.3,6.79,75,40,16.98,AR,1686597675
66,faya-largeau,17.9257,19.1043,38.07,20,0,1.62,TD,1686597239
67,filingue,14.3521,3.3168,30.1,54,100,1.5,NE,1686597675
68,ixtapa,20.7,-105.2,30.57,62,0,5.66,MX,1686597676
69,whitehorse,60.7161,-135.0538,15.43,26,40,8.23,CA,1686597640
70,jackson,42.4165,-122.8345,28.75,40,0,1.54,US,1686597676
71,utrik,11.2278,169.8474,27.43,82,71,8.57,MH,1686597676
72,nagqu,31.5,92.0,6.22,77,100,3.0,CN,1686597225
73,lodja,-3.4833,23.4333,23.94,69,87,1.33,CD,1686597677
74,ribeira grande,38.5167,-28.7,20.22,94,75,4.92,PT,1686597677
75,avarua,-21.2078,-159.775,24.03,94,100,2.06,CK,1686597677
76,ancud,-41.8697,-73.8203,8.37,70,4,2.11,CL,1686597677
77,ibiruba,-28.6275,-53.0897,10.87,53,83,4.85,BR,1686597678
78,kismayo,-0.3582,42.5454,25.86,79,54,6.69,SO,1686597249
79,polyarnyy,69.1989,33.4478,12.79,60,100,1.4,RU,1686597679
80,jamestown,42.097,-79.2353,14.77,82,100,6.69,US,1686597679
81,paracuru,-3.41,-39.0306,27.84,72,25,5.72,BR,1686597680
82,acapulco de juarez,16.8634,-99.8901,32.9,62,40,5.66,MX,1686597617
83,puerto natales,-51.7236,-72.4875,7.25,57,40,7.2,CL,1686597195
84,bikenibeu village,1.3673,173.1241,27.98,89,75,0.51,KI,1686597680
85,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,1686597681
86,harstad,68.799,16.5293,11.2,86,46,11.18,NO,1686597681
87,papatowai,-46.5619,169.4708,10.23,88,100,4.87,NZ,1686597681
88,howard springs,-12.497,131.047,19.95,56,91,2.64,AU,1686597681
89,port elizabeth,-33.918,25.5701,15.16,71,0,10.8,ZA,1686597682
90,yellowknife,62.456,-114.3525,7.29,65,75,4.63,CA,1686597422
91,saint-philippe,-21.3585,55.7679,21.77,79,0,3.23,RE,1686597322
92,mawu,29.5923,107.3139,19.1,83,23,1.07,CN,1686597682
93,tangalle,6.024,80.7911,25.09,85,91,5.94,LK,1686597298
94,taroa,8.7058,171.2275,28.18,80,99,8.13,MH,1686597683
95,tiksi,71.6872,128.8694,1.16,89,13,3.11,RU,1686597683
96,olonkinbyen,70.9221,-8.7187,1.16,87,95,4.84,SJ,1686597683
97,cassilandia,-19.1133,-51.7342,30.06,38,74,3.16,BR,1686597683
98,yemetsk,63.4721,41.7941,16.46,62,100,3.74,RU,1686597684
99,vytegra,61.0064,36.4481,12.4,65,16,1.7,RU,1686597684
100,margherita,27.2833,95.6833,23.21,97,97,0.78,IN,1686597684
101,nahiyat ash shinafiyah,31.5874,44.6602,37.64,15,0,3.64,IQ,1686597684
102,nadi,-17.8,177.4167,20.0,94,40,2.06,FJ,1686597684
103,chamonix-mont-blanc,45.9238,6.8693,22.44,87,100,1.2,FR,1686597685
104,cabedelo,-6.9811,-34.8339,26.37,80,1,5.62,BR,1686597685
105,college,64.8569,-147.8028,16.18,47,75,6.17,US,1686597685
106,enewetak,11.3474,162.3373,27.65,83,43,8.03,MH,1686597677
107,macia,-25.0269,33.0989,20.15,46,7,2.9,MZ,1686597686
108,yuzhno-kurilsk,44.0306,145.8556,11.14,99,100,3.59,RU,1686597686
109,ternate,0.8,127.4,26.59,82,100,0.25,ID,1686597686
110,bilibino,68.0546,166.4372,11.6,92,100,2.86,RU,1686597686
111,jena,50.9333,11.5833,21.87,74,0,3.68,DE,1686597611
112,saipan,15.1355,145.701,28.39,100,40,5.66,MP,1686597687
113,bethel,41.3712,-73.414,26.23,71,75,4.63,US,1686597398
114,myjava,48.7588,17.5687,15.43,1,100,4.21,SK,1686597687
115,ulladulla,-35.35,150.4667,10.8,78,4,2.3,AU,1686597250
116,sant'antioco,39.0664,8.4522,21.96,78,8,3.25,IT,1686597688
117,fort bragg,35.139,-79.006,31.08,56,75,6.17,US,1686597230
118,ust-nera,64.5667,143.2,14.61,92,98,3.28,RU,1686597688
119,susuman,62.7833,148.1667,17.65,59,100,1.43,RU,1686597688
120,nouadhibou,20.931,-17.0347,23.99,69,0,8.75,MR,1686597229
121,mizdah,31.4451,12.9801,27.43,33,0,5.18,LY,1686597689
122,buala,-8.145,159.5921,26.87,83,81,2.25,SB,1686597690
123,tamazunchale,21.2667,-98.7833,35.75,45,5,3.31,MX,1686597690
